Column1,Column2
"VA2 77775, Apartament 2 camere decomandate, 51 mp utili, Floresti",https://www.olx.ro/oferta/va2-77775-apartament-2-camere-decomandate-51-mp-utili-floresti-IDbJQpO.html#c44d1ca54e
Apartament doua camere capat Donath,https://www.olx.ro/oferta/apartament-doua-camere-capat-donath-IDcKEvx.html#c44d1ca54e
"Apartament cu 2 camere, 54 mp, pod de 10 mp! Zona strazii Sesul de...",https://www.olx.ro/oferta/apartament-cu-2-camere-54-mp-pod-de-10-mp-zona-strazii-sesul-de-IDbwoBz.html#c44d1ca54e
"VA1 68729, Apartament 1 camera, decomandat, 45 mp, Borhanci",https://www.olx.ro/oferta/va1-68729-apartament-1-camera-decomandat-45-mp-borhanci-ID9AHTN.html#c44d1ca54e
"Apartament cu 2 camere de vânzare, Baciu",https://www.olx.ro/oferta/apartament-cu-2-camere-de-vanzare-baciu-IDcKBmz.html#c44d1ca54e
"Vanzare 3 camere, 56 mp! Parcare! Zona strazii Florilor!",https://www.olx.ro/oferta/vanzare-3-camere-56-mp-parcare-zona-strazii-florilor-IDbJLfY.html#c44d1ca54e
"Apartament 3 camere, 54 mp! Zona Terra!",https://www.olx.ro/oferta/apartament-3-camere-54-mp-zona-terra-IDbJLgw.html#c44d1ca54e
Apartament în vilă,https://www.olx.ro/oferta/apartament-in-vila-IDcQhIg.html#c44d1ca54e
Ap. 3 cam 75 mp - 48 000 Euro - Floresti,https://www.olx.ro/oferta/ap-3-cam-75-mp-48-000-euro-floresti-ID8UAYZ.html#c44d1ca54e
Vând apartament 2 camere Floresti,https://www.olx.ro/oferta/vand-apartament-2-camere-floresti-IDcQhmt.html#c44d1ca54e
Apartament 3 camere! Semi-finisat cu CF! Zona Donath!,https://www.olx.ro/oferta/apartament-3-camere-semi-finisat-cu-cf-zona-donath-IDcufL1.html#c44d1ca54e
Apartament 2 camere; Cu CF! Acceptam credit!,https://www.olx.ro/oferta/apartament-2-camere-cu-cf-acceptam-credit-IDcuhuv.html#c44d1ca54e
"Apartament 2 camere, 53 mp, balcon, Floresti",https://www.olx.ro/oferta/apartament-2-camere-53-mp-balcon-floresti-IDanUYb.html#c44d1ca54e
"Apartament in bloc nou, 2 camere, de vânzare, în Grigorescu",https://www.olx.ro/oferta/apartament-in-bloc-nou-2-camere-de-vanzare-in-grigorescu-IDcu3hv.html#c44d1ca54e
"VA2 69363 Apartament 2 camere, 45 mp, parcare, Floresti",https://www.olx.ro/oferta/va2-69363-apartament-2-camere-45-mp-parcare-floresti-ID9GnQB.html#1a789d23bd
"VA3 71690 Apartament 3 camere, 60 mp, balcon, parcare, Floresti",https://www.olx.ro/oferta/va3-71690-apartament-3-camere-60-mp-balcon-parcare-floresti-ID9tHlP.html#1a789d23bd
"VA2 78159, Apartament semifinisat, 2 camere, 53 mp utili, Floresti",https://www.olx.ro/oferta/va2-78159-apartament-semifinisat-2-camere-53-mp-utili-floresti-IDbMGAt.html#1a789d23bd
"VA2 78050, Apartament modern, 2 camere, 48 mp utili, Floresti",https://www.olx.ro/oferta/va2-78050-apartament-modern-2-camere-48-mp-utili-floresti-IDbMGoQ.html#1a789d23bd
Apartament de lux de vânzare,https://www.olx.ro/oferta/apartament-de-lux-de-vanzare-IDc5x3W.html#1a789d23bd
"VA2 71691 Apartament cu gradina, 2 camere, 51 mp, Floresti",https://www.olx.ro/oferta/va2-71691-apartament-cu-gradina-2-camere-51-mp-floresti-ID9VZNp.html#1a789d23bd
Apartamente cu CF - 2 si 3 camere Zona Vivo,https://www.olx.ro/oferta/apartamente-cu-cf-2-si-3-camere-zona-vivo-IDcDg3y.html#1a789d23bd
